starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	0
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	1	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	1	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	1	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:36 2025	1740915396	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:36 2025	1740915396	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:36 2025	1740915396	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
